respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.0864240136197732,0.21581562685465802
26708,0.03719612854583267,0.027600057865135783
26709,0.46474287934765435,0.7499622843290255
26710,0.49527938624141177,0.8684393316601942
26711,0.23102904675266883,0.5511590341546997
26712,0.4169857393569889,0.9190065348243127
26713,0.36787980431788375,0.49654246052964035
26714,0.1371736909630447,0.24373809969391086
26715,0.03449227078747712,0.14678773368232503
26716,0.19106492945984865,0.8717426442757211
26717,0.018139528368373407,0.31934067585854164
26718,0.1842069037948384,0.3857566275235521
26719,0.098952583031159,0.8978686488686113
26720,0.08275904842331601,0.17563113598198912
26721,0.3878432754550092,0.3422260389386704
26722,0.05394462084822738,0.12278430447103439
26723,0.6434362564341325,0.8105468460186678
26724,0.11188085036836612,0.5569466802525674
26725,0.05002954868901991,0.11113779022793625
26726,0.01433525341626845,0.04365580250397534
26727,0.39820546745941393,0.8647152149246082
26728,0.20535675354295185,0.5376736402076168
26729,0.07010420555956516,0.2577850447674913
26730,0.038406718429507575,0.16893497222252232
26731,0.020443755878521368,0.2926763447858466
26732,0.10698483246505724,0.08268438488937584
26733,0.9115667566411778,0.9588225770814744
26734,0.8785223159769783,0.46154679478284827
26735,0.1680642468302353,0.5022917655337897
26736,0.07084112466105195,0.15895783657764018
26737,0.089431057866881,0.13177648819235077
26738,0.6489402418035242,0.9013422735112034
26739,0.1180825582209345,0.20787387677128108
26740,0.13549431070703122,0.10529983567261177
26741,0.19246934677948963,0.920714157396036
26742,0.14020830035408535,0.4627345106929716
26743,0.034501014509213244,0.43624190255595247
26744,0.06391164034022706,0.6710542808862555
26745,0.14849230192299762,0.9522425637763553
26746,0.11864942499194253,0.3246234964715623
26747,0.09184015085919013,0.3129093888649412
26748,0.09795109383884332,0.07020554065047621
26749,0.0779233023572896,0.6973729135733856
26750,0.6556463310850514,0.9109008726673707
26751,0.31182852300560787,0.7237767906247725
26752,0.02614789440550892,0.026111585718180397
26753,0.21939752504915405,0.6834486898822705
26754,0.0839661957546489,0.4811548630249841
26755,0.09609718748352422,0.31228661321471873
26756,0.018028378293821517,0.035114057925843434
26757,0.48244227348752067,0.5571827382758174
26758,0.6184609449232541,0.88940468536692
26759,0.04622632155091031,0.20948551604512905
26760,0.01117613003067426,0.024907220159708376
26761,0.16139218130459068,0.6399025208345253
26762,0.1379517475484764,0.7858652115656521
26763,0.8955961399286151,0.9779340428072434
26764,0.913927166433902,0.9528529728221355
26765,0.034978255068155446,0.6969780676166327
26766,0.13139788375228198,0.13477617930054175
26767,0.7755977943797171,0.714152358261473
26768,0.011686111501087617,0.33733783058390004
26769,0.11126278926567862,0.1254502272649618
26770,0.13913616878444793,0.7278268993849805
26771,0.07872027573716674,0.2530257257380153
26772,0.07914686623684761,0.35820766248299674
26773,0.017141377716931024,0.5745538880233445
26774,0.034770836785969296,0.4965300700344364
26775,0.10346757911780777,0.49246184315145297
26776,0.36669170971846426,0.29178932776051064
26777,0.11456783121220752,0.9284565806756885
26778,0.14821309430275698,0.17381640284016317
26779,0.11211379560067458,0.4861299135081782
26780,0.14986422967191393,0.960932797883776
26781,0.043779184975988296,0.42186788320098784
26782,0.04344370085224801,0.3019716861337209
26783,0.07384161085574094,0.36211102134145917
26784,0.33624897612707916,0.872392146190974
26785,0.38606583563024216,0.5368147027402854
26786,0.12277858457956799,0.2728439367649426
26787,0.09496987720685363,0.4544928302306318
26788,0.10700901759777444,0.8991907865857246
26789,0.013068984698168633,0.2606419211563468
26790,0.07092211475325352,0.3460896154747454
26791,0.06434798463702718,0.09026977638141671
26792,0.23724312688699573,0.7765799168120511
26793,0.10470228627388733,0.8609100043103444
26794,0.7877454204795589,0.8865579772140803
26795,0.0519191520872774,0.9389319994280904
26796,0.07091240386871955,0.08647366019639417
26797,0.09818464849284951,0.6681186270174385
26798,0.2584352744242811,0.28903838996450837
26799,0.2851176485375019,0.18726642790588924
26800,0.038404619376152,0.9252206488919966
26801,0.2723544939302249,0.38400832728599626
26802,0.10132096218368777,0.20093969995804223
26803,0.06010267635494573,0.14223807004680242
26804,0.0621649985049493,0.09387794088000823
26805,0.0702779606272629,0.18320354018411794
26806,0.07056566857296898,0.8740188935828939
26807,0.6232739636257358,0.9445895685453433
26808,0.22433560902286748,0.5601046571874442
26809,0.7367551111534817,0.1743580771398364
26810,0.03461600560317671,0.08374028110165466
26811,0.06351116647054597,0.09639851276384255
26812,0.1428466083590626,0.7834587439593735
26813,0.36221954029506537,0.398256555890316
26814,0.03267033349593208,0.40368224035926953
26815,0.053274389355274815,0.1397502102374737
26816,0.046529696926689686,0.2560702444670797
26817,0.1494072003448004,0.7048618357799276
26818,0.05811141442125156,0.21266487053937225
26819,0.42708936653608515,0.5037921884116374
26820,0.09311188673211394,0.3104823745594046
26821,0.10537190907501454,0.43063531626127594
26822,0.2760207596839918,0.7401141246423472
26823,0.5082471712469949,0.6459565744525477
26824,0.03560625099736993,0.6473064543403568
26825,0.36713747872848873,0.7276272200048771
26826,0.08899878082695767,0.669209319432964
26827,0.061139453157492536,0.1277964222893106
26828,0.17095134460375436,0.6563569254428419
26829,0.6472326700411402,0.9362673780907645
26830,0.07370514153885202,0.6857493145034325
26831,0.19247959433822198,0.7640744658361017
26832,0.1332755705651791,0.8260714555659515
26833,0.006590788539282594,0.32445950076856017
26834,0.13540864357803004,0.5365734861957221
26835,0.38438898142343547,0.9015509840308296
26836,0.17154559316743226,0.647804736957444
26837,0.039237173551912974,0.010221181993841838
26838,0.10424022879698346,0.3916575281012423
26839,0.14014482113223264,0.5481673358517596
26840,0.07422182208792794,0.09898733889359619
26841,0.32396510502430537,0.7943715436034716
26842,0.09413608628103678,0.21728153680960507
26843,0.0343269450563156,0.011910988483913835
26844,0.04651151818095679,0.5085616714382503
26845,0.06954049459590866,0.7438705609830591
26846,0.058372958784774984,0.691543021950068
26847,0.3041203878605113,0.08940782781657075
26848,0.049398200214027715,0.7630286876803942
26849,0.1166777397707984,0.6008705670450439
26850,0.5700430265255043,0.5877288895204826
26851,0.03343501141552863,0.05659248023952061
26852,0.037680855655630646,0.12077136456655037
26853,0.411472074251632,0.4131524555486902
26854,0.017929168011317654,0.08721593174932227
26855,0.566865681472346,0.8510533030464839
26856,0.1359791357309324,0.05371148322992938
26857,0.38966480125239994,0.16689239585030036
26858,0.12424937033173278,0.6365701648190404
26859,0.06962612772827355,0.11878364572116519
26860,0.12047325467882095,0.09385924873972458
26861,0.05168810380044035,0.06556221060472761
26862,0.1013743599394147,0.26576395077763126
26863,0.23933932811323821,0.5482867547694121
26864,0.46044014319142873,0.38394426276687055
26865,0.01615663674833695,0.03857469321519641
26866,0.2848475039339214,0.6546746014604299
26867,0.10906155506220272,0.16472562928718076
26868,0.7943494328581244,0.9444865624931454
26869,0.12180641123289865,0.4108442612918302
26870,0.600176151296537,0.8129287163544241
26871,0.04619558467218714,0.036477693693174794
26872,0.05069317007734524,0.2994193894506102
26873,0.12340758526254735,0.8535234341655769
26874,0.05389204709848642,0.1185064448318415
26875,0.6199367513295767,0.9292439775171686
26876,0.059701585015916096,0.06185015479914681
26877,0.07305771070364638,0.17670906905416703
26878,0.18201054337381506,0.22830204282748995
26879,0.014863511665328002,0.020702241340391475
26880,0.06438685950008038,0.10930931668047117
26881,0.024587798612983984,0.09020010627484475
26882,0.03589319756044683,0.09801261389194453
26883,0.07003587495583224,0.26128474537964025
26884,0.07786892763164659,0.21189229413864444
26885,0.21783120702889913,0.8539910499297293
26886,0.075224269072817,0.6958201889026312
26887,0.6344219163916688,0.8705897282264735
26888,0.8616607647529283,0.9406540965647157
26889,0.04612542109689127,0.10215154910618432
26890,0.10635039047914144,0.3945451480889016
26891,0.38618035663135897,0.5953904244267018
26892,0.159769173788992,0.868643992582763
26893,0.06289296721516992,0.19576490385381953
26894,0.15712104177560524,0.31218387896203703
26895,0.08173882696462893,0.8242522289459575
26896,0.04932706172172802,0.06965838727458945
26897,0.047759764517679375,0.31657146197490255
26898,0.22989870255205516,0.6533140564444188
26899,0.0621156306294017,0.08636001093708111
26900,0.1127044950889732,0.3452638443414126
26901,0.007654581606480218,0.271882675271056
26902,0.17102991871786508,0.9245135283228646
26903,0.2089583752816023,0.050995372691094214
26904,0.058886330557192494,0.3198118017470907
26905,0.35825400394769236,0.7564585293745346
26906,0.07476767642299785,0.3689823871213464
26907,0.012287682057465305,0.5657970374160343
26908,0.1104522322655747,0.6618442110664456
26909,0.09644250507961027,0.32500006908966717
26910,0.11196929829799614,0.34994627146214174
26911,0.05919599441259556,0.09060963275944026
26912,0.4807704465875496,0.9413336485733489
26913,0.7746886897382506,0.880762009547749
26914,0.06811306955582638,0.15138653140246963
26915,0.1599546960421955,0.7865490274795565
26916,0.06757066832749795,0.30475670455934983
26917,0.007797619946191568,0.0250376955767301
26918,0.689668538024067,0.9183196681800145
26919,0.3455494771375908,0.652081654169139
26920,0.036117763048325716,0.14545199489049843
26921,0.13610635052750197,0.8495111185582922
26922,0.06079787407906709,0.7970334363096375
26923,0.08781605144367093,0.44013796483325773
26924,0.6436182414390901,0.8782114742237958
